"filename", "language", "TypeScript", "comment", "blank", "total"
"/Users/wanjinli/code/dev/.obsidian/plugins/vault-coach/src/constants.ts", "TypeScript", 25, 22, 20, 67
"/Users/wanjinli/code/dev/.obsidian/plugins/vault-coach/src/knowledge-base.ts", "TypeScript", 416, 185, 121, 722
"/Users/wanjinli/code/dev/.obsidian/plugins/vault-coach/src/main.ts", "TypeScript", 229, 145, 68, 442
"/Users/wanjinli/code/dev/.obsidian/plugins/vault-coach/src/model-client.ts", "TypeScript", 200, 61, 41, 302
"/Users/wanjinli/code/dev/.obsidian/plugins/vault-coach/src/persistent-store.ts", "TypeScript", 56, 3, 18, 77
"/Users/wanjinli/code/dev/.obsidian/plugins/vault-coach/src/rag-engine.ts", "TypeScript", 514, 123, 93, 730
"/Users/wanjinli/code/dev/.obsidian/plugins/vault-coach/src/settings.ts", "TypeScript", 428, 39, 43, 510
"/Users/wanjinli/code/dev/.obsidian/plugins/vault-coach/src/types.ts", "TypeScript", 160, 161, 78, 399
"/Users/wanjinli/code/dev/.obsidian/plugins/vault-coach/src/view.ts", "TypeScript", 252, 96, 80, 428
"Total", "-", 2280, 835, 562, 3677